
# ==========================================
# Tower definitions
# ==========================================

# Basic single-target fast tower
TOWER basic
rateOfFire 8
range 320
bulletDamage 6
bulletAOE 0
bulletColor YELLOW
bulletWidth 4
bulletSpeed 800
bulletTargetType SINGLE_TARGET
bulletModifier DOT_1
color WHITE

# Splash tower with slowing effect
TOWER splash
rateOfFire 1.2
range 240
bulletDamage 8
bulletAOE 40
bulletColor SKYBLUE
bulletWidth 10
bulletSpeed 500
bulletTargetType AOE
bulletModifier SLOW_1
color BLUE

# Heavy tower with high damage and wide AOE
TOWER heavy
rateOfFire 0.8
range 280
bulletDamage 18
bulletAOE 60
bulletColor DARKBLUE
bulletWidth 16
bulletSpeed 300
bulletTargetType AOE
bulletModifier NONE
color DARKPURPLE

